Timestamp,emotion
0,Neutral
33,Neutral
66,Neutral
99,Neutral
133,Neutral
166,Neutral
199,Neutral
233,Neutral
266,Neutral
299,Neutral
333,Neutral
366,Neutral
399,Neutral
433,Neutral
466,Neutral
499,Neutral
533,Neutral
566,Neutral
599,Neutral
633,Neutral
666,Neutral
699,Neutral
733,Neutral
766,Neutral
799,Neutral
833,Neutral
866,Neutral
899,Neutral
932,Neutral
966,Neutral
999,Neutral
1032,Neutral
1066,Neutral
1099,Neutral
1132,Neutral
1166,Neutral
1199,Neutral
1232,Neutral
1266,Neutral
1299,Neutral
1332,Neutral
1366,Neutral
1399,Neutral
1432,Neutral
1466,Neutral
1499,Neutral
1532,Neutral
1566,Neutral
1599,Neutral
1632,Neutral
1666,Neutral
1699,Neutral
